time,charge
7.3909759521484375e-06,9.985258e-11
0.22922468185424805,9.966526e-11
0.32463717460632324,9.941226e-11
0.4190046787261963,9.907119e-11
0.5132575035095215,9.905011e-11
0.6075341701507568,9.902658e-11
0.7014648914337158,9.889766e-11
0.8031737804412842,9.923122e-11
0.9106571674346924,9.960207e-11
1.0049457550048828,9.972235e-11
1.0992846488952637,9.984506e-11
1.1937167644500732,9.967771e-11
1.2876319885253906,9.953009e-11
1.382295846939087,9.938865e-11
1.4764659404754639,9.935769e-11
1.5716698169708252,9.925225e-11
1.6659691333770752,9.897453e-11
1.763359546661377,9.866678e-11
1.8584182262420654,9.869546e-11
1.9533491134643555,9.884545e-11
2.0476465225219727,9.94644e-11
2.1424458026885986,9.947924e-11
2.237321376800537,9.928573e-11
2.3317325115203857,9.91618e-11
2.4265828132629395,9.895709e-11
2.521402597427368,9.867441e-11
2.6157004833221436,9.844368e-11
2.7103545665740967,9.807658e-11
2.804675340652466,9.808396e-11
2.899212598800659,9.807905e-11
2.993441343307495,9.807412e-11
3.0875802040100098,9.808396e-11
3.1829898357391357,9.804679e-11
3.276918888092041,9.79922e-11
3.3713908195495605,9.796622e-11
3.466125965118408,9.787808e-11
3.5610406398773193,9.774538e-11
3.655097723007202,9.758912e-11
3.749359130859375,9.742796e-11
3.8451638221740723,9.723322e-11
3.9398505687713623,9.749249e-11
4.034672260284424,9.830109e-11
4.129818439483643,9.907497e-11
4.225203037261963,9.908119e-11
4.320449352264404,9.915185e-11
4.415467739105225,9.653753e-11
4.509801626205444,9.647414e-11
4.6044228076934814,9.639355e-11
4.698344945907593,9.638601e-11
4.7936413288116455,9.628691e-11
4.888054132461548,9.611949e-11
4.982326030731201,9.579572e-11
5.076171398162842,9.55898e-11
5.170547246932983,9.537038e-11
5.264983177185059,9.509874e-11
5.358745813369751,9.475763e-11
5.452720642089844,9.4625e-11
5.546894550323486,9.445509e-11
5.640516519546509,9.418229e-11
5.742850303649902,9.381759e-11
5.836151361465454,9.36675e-11
5.929659605026245,9.347408e-11
6.023386716842651,9.321113e-11
6.117145299911499,9.297793e-11
6.210785627365112,9.278817e-11
6.305086851119995,9.249177e-11
6.398703575134277,9.227855e-11
6.492278575897217,9.221887e-11
6.586284399032593,9.225123e-11
6.680202960968018,9.254131e-11
6.7739479541778564,9.288124e-11
6.868155479431152,9.312429e-11
6.961978435516357,9.334504e-11
7.055936574935913,9.346042e-11
7.149975776672363,9.348652e-11
7.243901014328003,9.352371e-11
7.337629079818726,9.349266e-11
7.431641101837158,9.345172e-11
7.525776386260986,9.335872e-11
7.620022773742676,9.333392e-11
7.713726282119751,9.326076e-11
7.8084657192230225,9.318998e-11
7.903902053833008,9.311928e-11
