time,charge
9.5367431640625e-07,1.256588e-12
0.12796807289123535,1.26527e-12
0.2256908416748047,1.26527e-12
0.32334303855895996,1.257828e-12
0.4213263988494873,1.246666e-12
0.5190014839172363,1.239225e-12
0.6169919967651367,1.245426e-12
0.714552640914917,1.21442e-12
0.8122725486755371,1.224342e-12
0.9099404811859131,1.204498e-12
1.0078647136688232,1.190856e-12
1.1056864261627197,1.183415e-12
1.2035083770751953,1.178454e-12
1.3008637428283691,1.162331e-12
1.3978469371795654,1.152409e-12
1.4955308437347412,1.151169e-12
1.5932612419128418,-6.778837e-12
1.691349983215332,-6.808595e-12
1.7889106273651123,-6.854484e-12
1.8870582580566406,-6.883015e-12
1.9847338199615479,-6.9165e-12
2.0823779106140137,-6.936343e-12
2.1799581050872803,-6.937585e-12
2.2779901027679443,-6.963627e-12
2.3755412101745605,-6.984714e-12
2.473161458969116,-6.985945e-12
2.5705161094665527,-6.998353e-12
2.668642282485962,-7.020678e-12
2.766131639480591,-7.036798e-12
2.86348032951355,-7.067805e-12
2.9609413146972656,-7.082693e-12
3.05918025970459,-7.091369e-12
3.1566526889801025,-7.109975e-12
3.254385471343994,-7.14098e-12
3.3521487712860107,-7.133537e-12
3.4496848583221436,-7.165782e-12
3.547281265258789,-4.204123e-12
3.6454219818115234,7.580175e-13
3.7428476810455322,7.580175e-13
3.8408782482147217,7.704197e-13
3.9387688636779785,7.82822e-13
4.036436557769775,7.604979e-13
4.134197235107422,7.716599e-13
4.2320215702056885,7.580174e-13
4.32967209815979,7.778611e-13
4.427479982376099,7.642186e-13
4.52495002746582,7.567772e-13
4.6224119663238525,7.456152e-13
4.719744443893433,7.369336e-13
4.8176188468933105,7.33213e-13
4.9152607917785645,7.257716e-13
5.013084650039673,7.133693e-13
5.110800504684448,6.972464e-13
5.2087438106536865,7.022074e-13
5.30613112449646,6.761625e-13
5.4037024974823,6.798832e-13
5.501025915145874,6.550787e-13
5.598493337631226,-7.257566e-12
5.697390079498291,-7.314612e-12
5.795942068099976,-7.340657e-12
5.894980192184448,-7.369183e-12
5.993903875350952,-7.391502e-12
6.092213869094849,-7.420034e-12
6.191577672958374,-7.427471e-12
6.290858030319214,-7.442344e-12
6.38929557800293,-7.468406e-12
6.488187551498413,-7.475847e-12
6.58793830871582,-7.487001e-12
6.686417102813721,-7.532894e-12
6.78548526763916,-7.52917e-12
6.883882999420166,-7.552738e-12
6.982227802276611,-7.553969e-12
7.080236196517944,-7.57506e-12
7.1797590255737305,-7.598621e-12
7.278472423553467,-7.593661e-12
7.377011060714722,-7.620954e-12
7.476470708847046,-7.633349e-12
7.5752458572387695,2.544852e-13
7.6757519245147705,3.040952e-13
7.774247646331787,3.065753e-13
7.873271226882935,3.164973e-13
7.971513748168945,3.177373e-13
8.069593906402588,3.21458e-13
8.168392896652222,3.127765e-13
8.266107559204102,3.00374e-13
8.363443613052368,2.978937e-13
8.46178913116455,2.966537e-13
8.560330629348755,3.028551e-13
8.65835976600647,2.92933e-13
8.756874799728394,2.7805e-13
8.855628490447998,2.780504e-13
8.95427942276001,2.470441e-13
9.052701950073242,2.557258e-13
9.151137113571167,2.408434e-13
9.249767780303955,2.396034e-13
9.348572731018066,2.147982e-13
9.446894884109497,2.259609e-13
9.545053005218506,-1.598413e-12
9.643047571182251,-7.740008e-12
9.741630554199219,-7.784664e-12
9.840193748474121,-7.813181e-12
9.939378499984741,-7.831786e-12
10.0376136302948,-7.861546e-12
10.136268854141235,-7.860306e-12
10.23535442352295,-7.903718e-12
10.333666801452637,-7.906198e-12
10.433022499084473,-7.928524e-12
10.532097339630127,-7.953327e-12
10.63115930557251,-7.960771e-12
10.73027491569519,-7.968213e-12
10.828939199447632,-8.002931e-12
10.927609205245972,-8.007899e-12
11.02597951889038,-8.031464e-12
11.124592542648315,-8.030222e-12
11.223129272460938,-8.058747e-12
11.322905540466309,-8.059987e-12
11.421202182769775,-8.066184e-12
11.519798517227173,-8.076114e-12
11.618392944335938,-1.696712e-13
11.716822385787964,-1.49828e-13
11.81544017791748,-1.188221e-13
11.914681196212769,-1.175817e-13
12.012775897979736,-1.200622e-13
12.111782789230347,-1.16342e-13
12.210358381271362,-1.337052e-13
12.308390378952026,-1.349453e-13
12.406145095825195,-1.275035e-13
12.504183769226074,-1.337049e-13
12.601967096328735,-1.361857e-13
12.69944953918457,-1.647107e-13
12.79723072052002,-1.634704e-13
12.894623041152954,-1.721516e-13
12.9918954372406,-1.671912e-13
13.089726448059082,-1.659504e-13
13.187734365463257,-1.820736e-13
13.284970998764038,-2.006764e-13
13.38305115699768,-2.093587e-13
13.480616807937622,-2.093581e-13
13.577750444412231,-8.130682e-12
13.67583417892456,-8.180287e-12
13.773744821548462,-8.218742e-12
13.871436595916748,-8.257185e-12
13.96950364112854,-8.27703e-12
14.068033456802368,-8.300595e-12
14.166988611221313,-8.309271e-12
14.267388343811035,-8.321673e-12
14.3660147190094,-8.344003e-12
14.464715003967285,-8.368813e-12
14.563215017318726,-8.384934e-12
14.66195034980774,-8.391126e-12
14.760284423828125,-8.418411e-12
14.858426570892334,-8.425852e-12
14.957082986831665,-8.44074e-12
15.05563235282898,-8.445703e-12
15.154815673828125,-8.465543e-12
15.253576755523682,-8.487869e-12
15.352319240570068,-8.487869e-12
15.451238870620728,-8.501512e-12
15.549495220184326,-4.770908e-12
15.648327112197876,-5.615817e-13
15.747425317764282,-5.36777e-13
15.845638513565063,-5.392583e-13
15.94459056854248,-5.355383e-13
