time,charge
3.337860107421875e-06,-3.830804e-12
0.12866854667663574,-3.765075e-12
0.22725462913513184,-3.708026e-12
0.32564449310302734,-3.597648e-12
0.4242267608642578,-1.878293e-11
0.5233895778656006,-1.888834e-11
0.620941162109375,-1.901114e-11
0.7196705341339111,-1.91302e-11
0.8186793327331543,-1.914011e-11
0.9162817001342773,-1.907687e-11
1.0143382549285889,-1.907066e-11
1.112534523010254,-1.912151e-11
1.2113261222839355,-1.917483e-11
1.310349464416504,-1.912026e-11
1.4087040424346924,-1.902602e-11
1.5072298049926758,-1.902105e-11
1.606309175491333,-1.906199e-11
1.7051067352294922,-1.90781e-11
1.8030571937561035,-1.90285e-11
1.9022698402404785,-1.896275e-11
2.0004279613494873,-1.899501e-11
2.099240303039551,-1.900989e-11
2.197702407836914,-1.902354e-11
2.296314239501953,-1.895656e-11
2.3948893547058105,-3.71298e-12
2.494232416152954,-3.362004e-12
2.592841625213623,-3.157365e-12
2.6917192935943604,-2.989937e-12
2.7899210453033447,-2.806384e-12
2.888024091720581,-2.648876e-12
2.9860317707061768,-2.478966e-12
3.0843238830566406,-2.356182e-12
3.1824378967285156,-2.233399e-12
3.281191825866699,-2.160227e-12
3.3804681301116943,-2.053567e-12
3.478445053100586,-1.896056e-12
3.5768349170684814,-1.762113e-12
3.6754462718963623,-1.666616e-12
3.7739264965057373,-1.594686e-12
3.872577428817749,-1.491746e-12
3.971778631210327,-1.331758e-12
4.070621490478516,-1.187891e-12
4.168672561645508,-1.132083e-12
4.266971588134766,-1.079992e-12
4.365838050842285,-1.393769e-12
4.464154243469238,-1.626281e-11
4.563103199005127,-1.636574e-11
4.662163257598877,-1.650092e-11
4.760580539703369,-1.65803e-11
4.859073877334595,-1.654806e-11
4.95689058303833,-1.648107e-11
5.055380344390869,-1.650092e-11
5.154019355773926,-1.658277e-11
5.252004861831665,-1.662122e-11
5.3507654666900635,-1.655052e-11
5.4498372077941895,-1.649101e-11
5.548078536987305,-1.650588e-11
5.646358966827393,-1.655797e-11
5.744387149810791,-1.65592e-11
5.8424341678619385,-1.648853e-11
5.940194845199585,-1.643768e-11
6.0393195152282715,-1.644387e-11
6.137811899185181,-1.645751e-11
6.236069917678833,-1.645007e-11
6.335309982299805,-1.63893e-11
6.433930397033691,-9.968985e-13
6.533026933670044,-7.538145e-13
6.631879091262817,-5.789435e-13
6.730465412139893,-4.164736e-13
6.82864236831665,-2.416019e-13
6.927623748779297,-1.076575e-13
7.026322841644287,3.000654e-14
7.124210834503174,1.664318e-13
7.222994327545166,2.718499e-13
7.32184362411499,3.735482e-13
7.420492172241211,4.802077e-13
7.519959211349487,6.153919e-13
7.618102073669434,7.332131e-13
7.7159974575042725,8.187885e-13
7.81471061706543,8.8328e-13
7.913285732269287,1.006062e-12
8.011226415634155,1.153649e-12
8.109980344772339,1.27271e-12
8.208146333694458,1.333481e-12
8.306281089782715,1.407895e-12
8.404937744140625,-1.375011e-11
8.50294041633606,-1.388901e-11
8.601583242416382,-1.396714e-11
8.699943780899048,-1.408001e-11
8.797681331634521,-1.413581e-11
8.895922183990479,-1.412714e-11
8.994190216064453,-1.409737e-11
9.092806339263916,-1.41011e-11
9.190567255020142,-1.416309e-11
9.289138555526733,-1.419536e-11
9.387759923934937,-1.41296e-11
9.486413955688477,-1.409986e-11
9.585224866867065,-1.412094e-11
9.683473110198975,-1.416435e-11
9.781802654266357,-1.413953e-11
9.88055968284607,-1.407753e-11
9.979093790054321,-1.405768e-11
10.077779054641724,-1.408001e-11
10.175867319107056,-1.41073e-11
10.274024248123169,-1.408496e-11
10.372464418411255,-7.911132e-12
10.471323490142822,1.488509e-12
10.569961786270142,1.700587e-12
10.668081521987915,1.865536e-12
10.766479730606079,2.011883e-12
10.865050554275513,2.156989e-12
10.963521957397461,2.282253e-12
11.063163042068481,2.429837e-12
11.161772966384888,2.558821e-12
11.260575532913208,2.667959e-12
11.35956859588623,2.783302e-12
11.458250761032104,2.898642e-12
11.557003021240234,3.028864e-12
11.655402421951294,3.129324e-12
11.754672050476074,3.208699e-12
11.853484869003296,3.291792e-12
11.951785564422607,3.409614e-12
12.050514936447144,3.56216e-12
12.149578332901001,3.645256e-12
12.248681545257568,3.710989e-12
12.347544193267822,3.782922e-12
12.445730686187744,-1.14743e-11
12.544497728347778,-1.157353e-11
12.641764163970947,-1.164421e-11
12.73999309539795,-1.178931e-11
12.839259147644043,-1.1829e-11
12.937962770462036,-1.177567e-11
13.036213636398315,-1.172482e-11
13.134174823760986,-1.176576e-11
13.232060432434082,-1.1829e-11
13.330426216125488,-1.18228e-11
13.429253339767456,-1.178807e-11
13.527425289154053,-1.177071e-11
13.626144647598267,-1.181784e-11
13.72497820854187,-1.186993e-11
13.822625160217285,-1.183891e-11
13.920984029769897,-1.177072e-11
14.01982307434082,-1.177444e-11
14.11768627166748,-1.177445e-11
14.215569972991943,-1.178187e-11
14.313396453857422,-1.17521e-11
14.411906480789185,3.539839e-12
14.510379314422607,3.875938e-12
14.6100172996521,4.023526e-12
14.708086490631104,4.199635e-12
14.806089639663696,4.33978e-12
14.904276132583618,4.462562e-12
