time,charge
3.814697265625e-06,-7.823415e-13
0.12947297096252441,-1.093638e-12
0.22792744636535645,-1.463223e-12
0.326474666595459,-1.571124e-12
0.425701379776001,-1.454544e-12
0.5244369506835938,-1.527717e-12
0.6231019496917725,-1.8663e-12
0.7216799259185791,-2.328903e-12
0.8196930885314941,-2.388429e-12
0.91731858253479,1.613184e-11
1.014932632446289,1.653367e-11
1.113433837890625,1.648779e-11
1.212012529373169,1.631292e-11
1.310863971710205,1.649275e-11
1.4088220596313477,1.6747e-11
1.5076677799224854,1.681024e-11
1.6058237552642822,1.66453e-11
1.7056689262390137,1.64543e-11
1.8040437698364258,1.660189e-11
1.903120517730713,1.684001e-11
2.0010201930999756,1.685737e-11
2.0995256900787354,1.665026e-11
2.1988608837127686,1.646298e-11
2.2977211475372314,1.662793e-11
2.3961920738220215,1.685985e-11
2.494353771209717,1.683257e-11
2.5926239490509033,1.656096e-11
2.690516471862793,1.63898e-11
2.7895262241363525,1.657335e-11
2.888023853302002,1.19312e-11
2.986936569213867,-2.018845e-12
3.0855581760406494,-2.522376e-12
3.183706045150757,-2.831191e-12
3.2827131748199463,-2.812591e-12
3.3814878463745117,-2.803908e-12
3.4798338413238525,-3.018467e-12
3.5778818130493164,-3.389294e-12
3.6772725582122803,-3.592688e-12
3.7752022743225098,-3.523239e-12
3.8737637996673584,-3.484788e-12
3.9721174240112305,-3.68943e-12
4.070587873458862,-4.026769e-12
4.168982744216919,-4.173119e-12
4.2678306102752686,-4.050333e-12
4.365189790725708,-4.030489e-12
4.463649034500122,-4.276057e-12
4.5631654262542725,-4.610919e-12
4.661094903945923,-4.710134e-12
4.75886344909668,-4.634483e-12
4.8572375774383545,-4.627038e-12
4.9551100730896,1.380146e-11
5.053626775741577,1.380271e-11
5.152494668960571,1.396765e-11
5.2510292530059814,1.42033e-11
5.349199295043945,1.431119e-11
5.447412490844727,1.419834e-11
5.545310020446777,1.406686e-11
5.64375376701355,1.414377e-11
5.741687536239624,1.434715e-11
5.84029221534729,1.436451e-11
5.938767671585083,1.420949e-11
6.037490606307983,1.406811e-11
6.134910583496094,1.417476e-11
6.233228445053101,1.431739e-11
6.332725286483765,1.431491e-11
6.431073427200317,1.413135e-11
6.529576778411865,1.403214e-11
6.628002882003784,1.416484e-11
6.726266860961914,1.431739e-11
6.824564456939697,1.425538e-11
6.924093246459961,-4.478215e-12
7.021930932998657,-4.924692e-12
7.120035171508789,-5.018951e-12
7.218057870864868,-5.083438e-12
7.316129207611084,-5.311645e-12
7.4145708084106445,-5.634102e-12
7.512595176696777,-5.790366e-12
7.611140727996826,-5.759367e-12
7.709336280822754,-5.78913e-12
7.808913707733154,-5.995008e-12
7.9067912101745605,-6.290177e-12
8.00538444519043,-6.393112e-12
8.103715658187866,-6.326146e-12
8.202408790588379,-6.367075e-12
8.300837755203247,-6.600235e-12
8.399091243743896,-6.856956e-12
8.497462511062622,-6.909053e-12
8.595752000808716,-6.83712e-12
8.693703413009644,-6.880529e-12
8.791977405548096,-7.142216e-12
8.89012622833252,-1.257347e-12
8.9893057346344,1.141898e-11
9.087809801101685,1.175261e-11
9.185710191726685,1.186051e-11
9.284482955932617,1.175261e-11
9.38223147392273,1.16658e-11
9.480692863464355,1.183446e-11
9.580190420150757,1.203042e-11
9.678161382675171,1.203042e-11
9.776363134384155,1.185679e-11
9.875439167022705,1.176625e-11
9.973824501037598,1.191632e-11
10.071537733078003,1.208995e-11
10.169535398483276,1.20391e-11
10.267740726470947,1.185307e-11
10.366872072219849,1.178485e-11
10.466243505477905,1.195105e-11
10.565017700195312,1.209367e-11
10.663174629211426,1.199322e-11
10.762356996536255,1.180718e-11
10.860312461853027,1.176998e-11
10.958631753921509,-6.768909e-12
11.057494401931763,-6.951231e-12
11.156010627746582,-7.247636e-12
11.254297018051147,-7.645753e-12
11.354138374328613,-7.788373e-12
11.45325779914856,-7.733797e-12
11.552772760391235,-7.753641e-12
11.652186632156372,-8.047582e-12
11.750241756439209,-8.342748e-12
11.848987579345703,-8.437012e-12
11.947677850723267,-8.319193e-12
